% Model,WG_straight_副本.mph,,
% Version,COMSOL 6.2.0.339,,
% Date,"Sep 14 2025, 10:04",,
% Table,,,
% wg_width (um),sample_freq (1/s),neff (m^2),
0.8,2.04E+14,1.4421580561238871-7.459856833138165E-5i,1.38E-10
0.8,2.04E+14,1.4429010696831799-6.496644092883399E-5i,1.34E-10
0.8,2.04E+14,1.4436809078455368-3.293197207978727E-5i,1.34E-10
0.8,2.04E+14,1.4439137235043715-3.171027187787886E-5i,1.63E-10
0.8,2.04E+14,1.493210449712582-2.566206799251834E-16i,7.00E-13
0.8,2.05E+14,1.4423851835658235-7.753637233428378E-5i,1.34E-10
0.8,2.05E+14,1.4422726140482351-7.33355398007195E-5i,1.38E-10
0.8,2.05E+14,1.4430049882915092-6.401158108077355E-5i,1.34E-10
0.8,2.05E+14,1.4437772383041767-3.2445978109303104E-5i,1.34E-10
0.8,2.05E+14,1.4440100649531697-3.116690636184185E-5i,1.63E-10
0.8,2.05E+14,1.494383113605606-1.8256524232357315E-16i,6.84E-13
0.8,2.06E+14,1.442493864118505-7.640496557547065E-5i,1.34E-10
0.8,2.06E+14,1.4423856601339797-7.208653419084741E-5i,1.38E-10
0.8,2.06E+14,1.4431076328096457-6.307525518581172E-5i,1.34E-10
0.8,2.06E+14,1.4438724064059525-3.19694253662085E-5i,1.34E-10
0.8,2.06E+14,1.4441051757782046-3.063670891803131E-5i,1.63E-10
0.8,2.06E+14,1.495562485,6.69E-13
0.8,2.07E+14,1.442601208552246-7.529311650135742E-5i,1.34E-10
0.8,2.07E+14,1.4424972137232666-7.085193497381854E-5i,1.38E-10
0.8,2.07E+14,1.4432090299622427-6.215707791051553E-5i,1.34E-10
0.8,2.07E+14,1.4439664367849825-3.1502083646450495E-5i,1.34E-10
0.8,2.07E+14,1.4441990844586072-3.0119254633114762E-5i,1.63E-10
0.8,2.07E+14,1.496748367,6.54E-13
0.8,2.08E+14,1.4427072449502922-7.419838810566255E-5i,1.34E-10
0.8,2.08E+14,1.4426072999242374-6.970522285527232E-5i,1.38E-10
0.8,2.08E+14,1.4433092058922046-6.125679078263288E-5i,1.34E-10
0.8,2.08E+14,1.4440593534611148-3.104372946627838E-5i,1.34E-10
0.8,2.08E+14,1.444291818648941-2.9614136211947905E-5i,1.63E-10
0.8,2.08E+14,1.497940564,6.40E-13
0.8,2.09E+14,1.4428120020934267-7.313072696395348E-5i,1.34E-10
0.8,2.09E+14,1.4427159759287949-6.855457979034279E-5i,1.38E-10
0.8,2.09E+14,1.443408185774881-6.037373383636497E-5i,1.34E-10
0.8,2.09E+14,1.4441511798576327-3.059414388506331E-5i,1.34E-10
0.8,2.09E+14,1.444383405209214-2.912096176768651E-5i,1.63E-10
0.8,2.09E+14,1.499138881,6.26E-13
0.8,2.10E+14,1.442915505677298-7.208158070657815E-5i,1.34E-10
0.8,2.10E+14,1.4428232431970023-6.744015123999844E-5i,1.38E-10
0.8,2.10E+14,1.443505994670381-5.9507587413795134E-5i,1.34E-10
0.8,2.10E+14,1.444241938821823-3.0153116404980037E-5i,1.34E-10
0.8,2.10E+14,1.4444738702350588-2.863935596244695E-5i,1.63E-10
0.8,2.10E+14,1.500343124,6.13E-13
0.8,2.11E+14,1.4430177807603666-7.105274381133754E-5i,1.34E-10
0.8,2.11E+14,1.4429291397527853-6.635151976159482E-5i,1.39E-10
0.8,2.11E+14,1.4436026567655385-5.8657921499730266E-5i,1.34E-10
0.8,2.11E+14,1.444331652640067-2.972044180591444E-5i,1.34E-10
0.8,2.11E+14,1.4445632390852232-2.816895796025969E-5i,1.63E-10
0.8,2.11E+14,1.501553101,6.00E-13
0.8,2.12E+14,1.443118853163757-7.004314171670987E-5i,1.34E-10
0.8,2.12E+14,1.4430337009561962-6.527638789681222E-5i,1.39E-10
0.8,2.12E+14,1.4436981957014987-5.782436261672965E-5i,1.34E-10
0.8,2.12E+14,1.4444203430553875-2.9295920583676973E-5i,1.34E-10
